Suma Estrés,Suma Ansiedad,Suma Depresión,Genero,Edad,Orientacion,Raza,Educacion,Licenciatura,Ingles Nativo,Religion,Matrimonio,Zurdo,Zona vivienda,Familia,Voto,EXTRAVERSIÓN,AMABILIDAD,RESPONSABILIDAD,NEUROTICISMO,APERTURA EXP,country
37,22,32,Mujer,18,Otros,Nativo Americano,Instituto,4,2,Musulmán,1,Diestro,Urbano,3,2,4.0,4.0,2.5,2.5,4.5,MY
3,0,2,Hombre,19,Heterosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Suburbano,3,2,3.5,4.5,2.5,6.0,4.0,MY
23,5,11,Mujer,25,Heterosexual,Asiática,Máster/Doctorado,2,2,Musulmán,1,Diestro,Suburbano,6,2,4.5,4.0,3.0,2.5,3.5,MY
6,7,10,Mujer,19,Heterosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Rural,4,2,3.0,3.5,4.5,5.5,2.5,MY
17,15,16,Mujer,33,Heterosexual,Asiática,Grado universitario,3,2,Católico,1,Diestro,Urbano,3,2,2.5,5.0,4.0,4.0,4.0,US
14,14,11,Mujer,21,Heterosexual,Asiática,Grado universitario,3,2,Musulmán,1,Diestro,Rural,4,2,5.0,4.0,4.0,3.5,5.5,MY
17,14,37,Mujer,22,Heterosexual,Asiática,Grado universitario,2,2,Musulmán,1,Diestro,Suburbano,4,2,3.0,7.0,6.5,4.5,4.5,MY
16,4,10,Mujer,24,Heterosexual,Asiática,Máster/Doctorado,6,2,Musulmán,2,Diestro,Suburbano,7,2,5.5,4.5,5.0,3.0,4.5,MY
31,38,30,Mujer,22,Otros,Asiática,Grado universitario,0,2,Musulmán,1,Diestro,Urbano,6,2,4.0,3.5,4.0,4.0,7.0,MY
42,42,42,Mujer,14,Otros,Blanco,Instituto,7,2,Musulmán,1,Diestro,Urbano,2,0,4.5,3.5,3.5,2.5,4.5,MY
13,11,15,Mujer,20,Heterosexual,Asiática,Instituto,4,2,Musulmán,1,Diestro,Urbano,6,2,2.5,5.0,5.0,6.0,4.0,MY
36,33,38,Mujer,15,Heterosexual,Asiática,Instituto,0,2,Musulmán,1,Zurdo,Urbano,2,2,3.5,3.5,4.0,2.5,4.0,MY
25,24,28,Mujer,18,Heterosexual,Asiática,Instituto,1,2,Musulmán,1,Diestro,Rural,4,2,3.0,4.5,3.5,4.0,5.0,MY
12,10,5,Mujer,19,Heterosexual,Asiática,Grado universitario,2,2,Musulmán,1,Zurdo,Rural,2,2,3.5,6.5,4.5,3.0,4.5,MY
17,7,30,Mujer,23,Heterosexual,Asiática,Máster/Doctorado,0,1,Musulmán,1,Diestro,Rural,3,2,3.5,3.5,4.0,2.5,3.0,MY
20,7,16,Mujer,19,Heterosexual,Nativo Americano,Instituto,0,2,Católico,1,Diestro,Urbano,3,2,6.5,4.5,2.5,2.5,6.0,CL
17,20,15,Mujer,18,Homosexual,Blanco,Grado universitario,4,1,Musulmán,1,Diestro,Rural,5,1,3.5,3.0,3.5,4.0,3.5,MY
10,5,15,Mujer,16,Homosexual,Asiática,Hasta el instituto,0,2,Musulmán,1,Diestro,Urbano,5,2,4.0,4.5,3.5,2.5,4.0,MY
23,18,22,Mujer,24,Heterosexual,Otros,Grado universitario,2,2,Musulmán,1,Diestro,Rural,7,2,3.0,6.5,4.5,4.0,3.0,MY
25,21,12,Mujer,18,Heterosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,5,2,4.5,3.5,3.5,2.5,4.0,MY
31,30,37,Mujer,14,Bisexual,Asiática,Hasta el instituto,0,2,Católico,1,Diestro,Urbano,5,2,5.0,3.0,4.0,1.0,3.5,PH
8,3,6,Hombre,23,Homosexual,Asiática,Grado universitario,6,2,Musulmán,1,Diestro,Rural,8,2,6.0,4.5,6.0,6.0,5.5,MY
25,18,17,Mujer,16,Heterosexual,Asiática,Instituto,1,2,Musulmán,1,Diestro,Urbano,3,2,1.0,4.5,3.0,2.5,5.0,MY
8,8,30,Mujer,16,Heterosexual,Blanco,Instituto,0,2,Ateo,1,Diestro,Urbano,2,2,2.5,4.0,3.5,4.0,2.5,PY
3,0,1,Mujer,21,Bisexual,Asiática,Grado universitario,0,2,Musulmán,1,Diestro,Rural,5,2,3.0,6.0,6.0,3.5,4.0,MY
6,10,5,Mujer,18,Heterosexual,Asiática,Grado universitario,4,2,Musulmán,1,Diestro,Rural,6,2,3.0,6.0,3.5,3.5,4.0,MY
20,22,19,Mujer,22,Homosexual,Asiática,Grado universitario,3,2,Musulmán,1,Zurdo,Suburbano,3,2,3.5,4.5,4.0,3.5,4.0,MY
38,22,37,Mujer,22,Heterosexual,Asiática,Grado universitario,2,2,Musulmán,1,Diestro,Suburbano,5,2,3.5,3.0,3.0,1.0,3.5,MY
20,20,2,Mujer,17,Heterosexual,Asiática,Instituto,3,2,Musulmán,1,Diestro,Suburbano,4,2,3.5,3.5,3.5,2.5,3.0,MY
23,24,29,Mujer,17,Heterosexual,Asiática,Instituto,0,2,Católico,1,Diestro,Urbano,1,2,2.0,4.5,3.5,3.0,4.0,PH
15,16,14,Mujer,17,Bisexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,1,2,5.5,4.0,5.0,3.5,5.5,MY
13,11,18,Mujer,18,Heterosexual,Asiática,Instituto,6,2,Musulmán,1,Diestro,Suburbano,5,2,2.0,3.0,3.0,4.0,3.0,ID
1,4,2,Mujer,21,Homosexual,Asiática,Grado universitario,3,2,Musulmán,1,Diestro,Rural,5,2,6.0,5.5,4.0,6.5,5.0,MY
31,29,32,Mujer,20,Heterosexual,Asiática,Grado universitario,3,2,Musulmán,1,Diestro,Rural,5,2,4.5,5.5,2.0,1.0,3.5,MY
21,13,16,Mujer,23,Heterosexual,Asiática,Grado universitario,0,1,Musulmán,1,Diestro,Urbano,4,2,1.5,4.0,6.0,4.5,5.5,MY
29,10,31,Mujer,18,Homosexual,Asiática,Grado universitario,4,1,Musulmán,1,Diestro,Urbano,4,2,3.5,4.0,6.5,2.0,3.0,MY
23,17,22,Mujer,19,Heterosexual,Indígena Australiana,Instituto,4,2,Musulmán,1,Diestro,Otros,1,2,5.5,4.0,6.5,5.0,6.0,MY
11,8,26,Mujer,17,Bisexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,5,2,3.5,4.5,5.5,3.5,4.5,MY
28,30,27,Mujer,19,Heterosexual,Asiática,Instituto,1,2,Musulmán,1,Diestro,Urbano,5,2,4.0,4.5,4.0,2.5,3.5,MY
20,18,15,Mujer,21,Heterosexual,Asiática,Instituto,4,2,Musulmán,1,Diestro,Suburbano,5,2,1.5,4.5,5.0,2.5,4.0,MY
4,2,1,Mujer,24,Heterosexual,Asiática,Grado universitario,0,2,Musulmán,1,Diestro,Urbano,3,2,4.5,4.5,6.5,4.5,5.0,MY
7,6,8,Hombre,22,Heterosexual,Asiática,Grado universitario,6,2,Musulmán,1,Diestro,Rural,3,2,4.5,3.5,4.5,4.5,3.0,MY
11,6,10,Mujer,26,Otros,Negra,Máster/Doctorado,4,2,Musulmán,1,Diestro,Rural,5,2,1.0,4.0,7.0,4.0,3.0,MY
22,12,32,Mujer,19,Heterosexual,Asiática,Grado universitario,2,1,Musulmán,1,Diestro,Urbano,3,2,4.5,4.5,3.5,1.5,1.5,MY
5,4,10,Mujer,15,Heterosexual,Asiática,Instituto,0,2,Católico,1,Diestro,Urbano,1,2,5.0,4.5,3.5,5.0,5.5,PH
35,37,32,Mujer,18,Heterosexual,Árabe,Grado universitario,0,2,Musulmán,1,Diestro,Urbano,0,2,4.0,4.0,5.5,2.5,7.0,EG
31,21,27,Mujer,18,Homosexual,Asiática,Instituto,4,2,Musulmán,1,Zurdo,Rural,7,2,3.0,4.5,3.0,1.0,5.5,MY
21,20,23,Mujer,19,Heterosexual,Asiática,Grado universitario,7,2,Musulmán,2,Diestro,Urbano,7,2,4.0,4.0,4.0,4.0,4.0,MY
13,11,32,Mujer,18,Heterosexual,Asiática,Instituto,0,2,Católico,1,Diestro,Urbano,4,2,2.5,4.5,2.5,4.5,4.5,PH
32,23,40,Mujer,38,Heterosexual,Indígena Australiana,Instituto,0,1,Ateo,1,Diestro,Suburbano,5,1,1.0,5.0,5.5,1.0,5.0,AU
26,25,9,Mujer,21,Heterosexual,Asiática,Instituto,4,2,Musulmán,1,Zurdo,Rural,3,2,4.5,4.0,4.0,3.0,4.5,MY
34,14,36,Mujer,32,Bisexual,Asiática,Máster/Doctorado,4,2,Musulmán,3,Diestro,Rural,2,1,3.0,5.0,3.0,1.5,3.5,MY
24,25,13,Mujer,16,Asexual,Asiática,Instituto,0,1,Musulmán,1,Diestro,Rural,3,2,6.0,4.0,3.5,3.0,3.5,MY
23,12,11,Mujer,16,Homosexual,Asiática,Instituto,4,2,Musulmán,1,Diestro,Rural,8,2,5.5,6.5,4.5,3.5,7.0,MY
27,22,17,Mujer,19,Heterosexual,Asiática,Instituto,7,2,Musulmán,1,Diestro,Suburbano,4,2,3.0,4.0,4.0,3.5,5.0,MY
6,4,5,Mujer,20,Heterosexual,Asiática,Grado universitario,6,2,Musulmán,1,Diestro,Urbano,5,2,4.0,6.0,4.5,6.5,4.0,MY
19,6,14,Mujer,22,Heterosexual,Asiática,Grado universitario,0,2,Musulmán,1,Diestro,Urbano,6,2,2.5,5.5,4.0,4.5,6.5,MY
34,32,36,Mujer,16,Otros,Asiática,Otros,0,1,Musulmán,1,Zurdo,Urbano,7,2,2.0,2.0,4.0,2.0,3.0,MY
24,22,15,Mujer,23,Otros,Árabe,Instituto,0,1,Musulmán,1,Diestro,Urbano,2,2,4.5,4.0,3.0,3.0,4.0,MY
11,8,11,Mujer,18,Otros,Asiática,Grado universitario,0,2,Musulmán,1,Diestro,Urbano,5,2,5.5,4.5,4.0,4.5,4.5,MY
23,26,42,Mujer,20,Heterosexual,Asiática,Grado universitario,0,2,Musulmán,1,Zurdo,Rural,2,2,1.0,1.5,7.0,2.5,1.0,MY
33,16,33,Mujer,22,Heterosexual,Asiática,Otros,0,2,Otros,1,Diestro,Urbano,2,2,4.5,4.5,3.0,1.0,4.5,PH
42,31,34,Mujer,18,Bisexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,3,2,1.0,5.5,2.5,1.0,1.0,MY
36,30,27,Mujer,21,Asexual,Asiática,Instituto,1,1,Protestante,1,Diestro,Urbano,2,2,4.0,1.5,2.5,1.5,6.5,KR
27,18,34,Mujer,20,Heterosexual,Árabe,Grado universitario,6,2,Musulmán,1,Diestro,Urbano,4,2,6.0,4.5,6.5,2.0,4.0,MY
21,13,29,Hombre,20,Heterosexual,Asiática,Grado universitario,4,1,Musulmán,1,Diestro,Urbano,4,2,4.5,3.0,6.0,5.5,4.0,MY
31,28,26,Mujer,19,Homosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,4,2,3.0,3.0,2.5,1.5,3.0,MY
33,29,31,Mujer,14,Bisexual,Blanco,Hasta el instituto,0,1,Ateo,1,Diestro,Urbano,3,2,4.0,5.0,2.0,1.0,5.0,US
9,10,12,Hombre,19,Asexual,Asiática,Grado universitario,0,2,Musulmán,1,Diestro,Rural,5,2,2.5,3.0,6.0,4.0,5.0,MY
27,24,25,Mujer,15,Asexual,Asiática,Instituto,0,1,Budista,1,Diestro,Urbano,2,2,4.0,4.0,4.0,2.5,4.0,MY
21,14,26,Mujer,16,Heterosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,5,2,3.0,4.0,3.5,2.0,5.0,MY
12,5,3,Mujer,16,Otros,Asiática,Hasta el instituto,0,2,Musulmán,1,Diestro,Rural,3,2,4.5,4.0,6.5,3.5,5.5,MY
33,25,39,Mujer,19,Heterosexual,Asiática,Grado universitario,3,2,Musulmán,1,Diestro,Rural,4,2,1.0,5.0,5.0,2.0,2.0,MY
15,11,23,Mujer,17,Otros,Blanco,Instituto,0,2,Ateo,1,Ambidiestro,Urbano,3,2,6.5,2.5,5.5,1.0,1.0,GR
23,14,27,Mujer,21,Bisexual,Asiática,Grado universitario,3,2,Musulmán,1,Diestro,Urbano,3,2,4.0,3.5,5.0,4.0,3.5,MY
24,33,42,Mujer,22,Heterosexual,Asiática,Grado universitario,0,2,Católico,1,Diestro,Urbano,1,2,3.0,6.5,3.0,2.0,2.5,PH
19,19,22,Mujer,21,Heterosexual,Asiática,Instituto,4,2,Musulmán,1,Diestro,Suburbano,1,2,6.5,5.0,4.0,4.0,6.5,MY
12,15,14,Mujer,16,Otros,Asiática,Instituto,0,1,Musulmán,1,Zurdo,Rural,2,2,0.5,7.0,4.0,3.0,4.0,MY
30,15,29,Mujer,13,Bisexual,Asiática,Hasta el instituto,4,2,Católico,1,Diestro,Urbano,3,2,2.5,4.5,3.0,3.0,2.5,AU
10,6,17,Mujer,17,Asexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Suburbano,5,2,3.0,4.0,2.0,6.5,2.0,ID
22,20,24,Mujer,18,Heterosexual,Asiática,Grado universitario,1,1,Musulmán,1,Zurdo,Urbano,3,1,6.0,5.5,4.5,1.5,6.0,MY
10,7,7,Mujer,25,Heterosexual,Asiática,Grado universitario,6,2,Musulmán,1,Diestro,Suburbano,3,2,1.5,6.5,6.0,5.0,4.0,MY
16,17,13,Mujer,17,Homosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,2,2,3.0,5.0,6.0,3.5,2.0,MY
11,6,7,Hombre,19,Heterosexual,Asiática,Instituto,6,2,Musulmán,1,Diestro,Suburbano,5,2,6.0,1.0,6.0,4.5,3.5,MY
5,7,6,Mujer,49,Heterosexual,Asiática,Grado universitario,7,2,Musulmán,2,Diestro,Urbano,6,1,3.5,5.0,4.5,4.0,4.0,ID
13,8,11,Mujer,22,Heterosexual,Asiática,Grado universitario,4,2,Musulmán,1,Diestro,Rural,3,2,4.5,4.0,5.0,5.5,4.5,MY
17,8,13,Mujer,19,Bisexual,Asiática,Instituto,7,2,Católico,1,Diestro,Urbano,1,2,4.0,6.0,4.0,4.5,4.5,PH
20,25,11,Mujer,20,Heterosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,2,2,4.5,4.5,5.5,3.5,4.5,MY
8,10,5,Mujer,20,Homosexual,Asiática,Grado universitario,6,2,Musulmán,1,Diestro,Rural,3,2,5.5,5.5,4.5,6.0,6.5,MY
1,0,7,Mujer,20,Heterosexual,Asiática,Grado universitario,7,2,Musulmán,1,Diestro,Urbano,3,2,4.0,6.0,5.5,5.0,4.5,MY
39,35,36,Mujer,20,Heterosexual,Asiática,Grado universitario,3,2,Católico,1,Diestro,Suburbano,4,2,1.5,2.5,1.0,2.0,1.0,PH
9,6,3,Mujer,18,Asexual,Árabe,Instituto,0,2,Musulmán,1,Diestro,Rural,1,2,3.5,4.5,6.0,4.5,5.0,MY
37,36,42,Mujer,15,Bisexual,Blanco,Hasta el instituto,0,1,Otros (cristianismo),1,Ambidiestro,Suburbano,2,2,2.0,4.0,7.0,2.0,5.0,US
19,14,18,Mujer,20,Heterosexual,Asiática,Grado universitario,4,2,Musulmán,1,Diestro,Urbano,2,2,1.0,5.5,1.0,3.5,3.5,MY
26,30,24,Mujer,19,Asexual,Asiática,Grado universitario,6,2,Musulmán,1,Diestro,Urbano,3,2,4.5,4.0,4.5,2.5,4.0,MY
42,41,42,Mujer,15,Bisexual,Blanco,Hasta el instituto,0,1,Otros (cristianismo),1,Diestro,Suburbano,3,2,2.0,5.0,3.0,1.0,2.0,US
10,16,8,Mujer,17,Heterosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Rural,4,2,5.5,7.0,1.0,5.0,1.0,MY
16,6,19,Mujer,17,Otros,Asiática,Hasta el instituto,0,1,Otros,1,Zurdo,Urbano,4,2,4.5,6.5,3.5,3.5,5.5,US
11,7,4,Mujer,24,Otros,Asiática,Máster/Doctorado,3,2,Musulmán,1,Diestro,Urbano,1,2,4.0,7.0,6.5,5.5,4.0,MY
19,12,28,Mujer,18,Heterosexual,Blanco,Instituto,5,2,Musulmán,1,Diestro,Rural,3,2,0.5,7.5,3.5,3.5,2.5,MY
15,14,34,Mujer,16,Heterosexual,Indígena Australiana,Instituto,0,2,Católico,1,Diestro,Urbano,4,2,1.5,2.0,4.0,3.0,3.5,MX
28,23,27,Mujer,19,Heterosexual,Asiática,Grado universitario,7,1,Musulmán,1,Diestro,Rural,7,2,3.0,3.5,5.0,2.5,4.0,MY
24,12,19,Mujer,21,Heterosexual,Asiática,Grado universitario,0,2,Musulmán,1,Diestro,Urbano,4,2,4.0,4.0,1.5,2.5,4.0,MY
16,2,12,Mujer,16,Heterosexual,Asiática,Hasta el instituto,0,2,Musulmán,1,Diestro,Suburbano,8,2,4.0,4.5,5.0,4.5,4.5,US
11,11,5,Mujer,19,Heterosexual,Asiática,Grado universitario,0,1,Musulmán,1,Diestro,Rural,4,2,2.5,6.5,3.5,6.5,4.0,MY
21,18,13,Mujer,16,Homosexual,Asiática,Instituto,8,2,Musulmán,1,Zurdo,Urbano,5,2,3.5,5.5,3.5,1.0,4.5,MY
26,19,26,Mujer,21,Bisexual,Indígena Australiana,Grado universitario,4,2,Musulmán,1,Diestro,Urbano,4,2,3.0,4.0,2.0,1.5,3.5,MY
32,30,25,Mujer,18,Otros,Blanco,Instituto,0,2,Musulmán,1,Diestro,Urbano,0,2,4.0,4.0,3.5,2.0,4.5,MY
25,20,23,Mujer,15,Homosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,3,2,2.5,5.0,2.5,2.5,3.5,MY
29,21,13,Mujer,19,Heterosexual,Blanco,Instituto,0,2,Católico,1,Diestro,Suburbano,3,2,3.5,5.0,5.5,1.0,6.0,DE
32,30,32,Mujer,20,Heterosexual,Asiática,Instituto,0,2,Hinduista,1,Diestro,Urbano,3,2,2.5,4.5,4.5,2.5,2.5,IN
39,34,38,Mujer,19,Heterosexual,Asiática,Grado universitario,0,1,Católico,0,Diestro,Urbano,0,2,4.0,4.0,4.0,1.0,4.0,PH
28,26,34,Mujer,20,Otros,Asiática,Grado universitario,0,2,Musulmán,1,Diestro,Urbano,5,2,4.0,4.0,1.5,3.0,4.5,MY
19,14,8,Hombre,19,Heterosexual,Asiática,Grado universitario,6,2,Musulmán,1,Diestro,Suburbano,4,2,5.5,4.0,4.0,3.0,5.0,MY
35,41,38,Mujer,18,Otros,Asiática,Grado universitario,3,2,Musulmán,1,Diestro,Rural,2,2,1.5,5.0,1.5,2.0,3.5,MY
23,10,23,Mujer,20,Heterosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,3,2,4.0,4.0,3.5,3.0,3.5,MY
15,9,29,Mujer,22,Heterosexual,Asiática,Grado universitario,0,2,Musulmán,1,Diestro,Urbano,4,2,5.0,5.5,5.0,5.5,3.0,MY
14,12,28,Mujer,17,Asexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Rural,3,2,4.5,4.0,2.0,3.5,1.0,MY
15,7,11,Mujer,23,Otros,Asiática,Máster/Doctorado,0,2,Católico,1,Diestro,Rural,5,1,5.0,3.5,4.0,4.0,5.5,PH
14,6,8,Mujer,30,Heterosexual,Asiática,Grado universitario,3,2,Musulmán,2,Diestro,Suburbano,5,2,2.0,5.5,2.5,2.5,4.5,MY
24,15,17,Mujer,19,Heterosexual,Asiática,Máster/Doctorado,3,2,Musulmán,1,Diestro,Suburbano,4,2,3.5,4.0,6.5,3.5,4.0,MY
13,7,14,Mujer,20,Asexual,Asiática,Grado universitario,0,1,Musulmán,1,Diestro,Urbano,2,2,4.5,7.0,4.0,2.5,4.5,MY
27,21,26,Mujer,23,Otros,Asiática,Grado universitario,0,2,Musulmán,2,Diestro,Rural,4,2,4.0,5.0,4.0,3.0,5.0,MY
22,21,10,Mujer,22,Homosexual,Asiática,Grado universitario,0,1,Musulmán,1,Diestro,Suburbano,3,2,2.5,5.0,5.0,3.5,6.0,MY
21,10,15,Mujer,20,Heterosexual,Asiática,Grado universitario,1,2,Musulmán,1,Zurdo,Suburbano,5,2,4.0,3.0,4.0,2.0,4.0,MY
20,18,22,Mujer,21,Asexual,Asiática,Grado universitario,5,2,Musulmán,1,Diestro,Suburbano,4,2,4.0,4.0,4.0,3.0,3.5,MY
4,2,2,Mujer,17,Bisexual,Asiática,Instituto,3,2,Musulmán,1,Diestro,Rural,6,2,4.0,5.5,5.0,4.5,5.0,MY
13,6,14,Mujer,19,Homosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,4,2,4.5,4.0,3.0,3.0,4.0,MY
18,27,35,Mujer,14,Heterosexual,Asiática,Hasta el instituto,0,2,Musulmán,1,Diestro,Rural,2,2,3.0,5.5,5.5,4.0,4.0,MY
4,2,1,Mujer,19,Heterosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,4,2,2.5,5.0,1.5,4.0,3.5,MY
22,18,15,Mujer,22,Bisexual,Asiática,Grado universitario,3,2,Musulmán,1,Diestro,Suburbano,3,2,3.5,5.0,4.0,3.0,3.0,MY
33,30,36,Mujer,20,Heterosexual,Asiática,Instituto,0,1,Musulmán,1,Diestro,Urbano,4,2,5.0,2.0,2.5,4.0,4.5,MY
11,21,3,Mujer,18,Asexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Rural,7,2,4.5,5.0,4.5,5.0,4.0,MY
18,13,15,Mujer,14,Bisexual,Asiática,Hasta el instituto,0,2,Católico,1,Diestro,Urbano,3,2,3.5,4.5,3.5,2.5,4.0,PH
27,15,31,Mujer,21,Heterosexual,Asiática,Instituto,5,2,Musulmán,1,Diestro,Rural,5,2,2.5,4.5,4.0,3.0,3.5,MY
20,19,16,Mujer,19,Heterosexual,Asiática,Grado universitario,0,2,Musulmán,1,Diestro,Urbano,6,2,2.5,5.5,5.5,4.0,5.0,MY
33,32,31,Mujer,18,Otros,Blanco,Instituto,0,2,Musulmán,1,Diestro,Urbano,3,2,3.5,4.0,4.0,3.5,2.5,MY
25,23,12,Mujer,18,Heterosexual,Asiática,Instituto,4,2,Musulmán,1,Diestro,Urbano,4,2,4.0,4.5,3.5,3.0,6.5,MY
23,21,23,Hombre,18,Asexual,Asiática,Instituto,3,2,Musulmán,1,Diestro,Rural,2,2,3.0,4.5,4.0,3.5,4.0,MY
34,32,28,Mujer,17,Asexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,2,2,2.5,4.5,4.5,2.0,3.0,MY
9,1,3,Mujer,15,Heterosexual,Asiática,Instituto,7,2,Musulmán,1,Diestro,Suburbano,3,2,3.0,6.0,5.0,3.5,4.5,MY
21,16,14,Mujer,20,Heterosexual,Asiática,Instituto,6,2,Hinduista,1,Diestro,Rural,3,2,4.5,4.5,4.0,4.5,5.0,MY
19,8,23,Mujer,20,Heterosexual,Asiática,Instituto,0,1,Musulmán,1,Diestro,Urbano,3,2,6.0,4.0,3.5,4.5,4.0,ID
9,12,11,Mujer,18,Heterosexual,Negra,Grado universitario,2,2,Musulmán,1,Diestro,Rural,5,2,3.5,5.0,2.5,6.5,3.5,MY
17,14,7,Mujer,16,Homosexual,Asiática,Hasta el instituto,0,2,Protestante,1,Diestro,Rural,3,2,4.0,4.0,4.0,5.0,4.0,PH
32,22,27,Mujer,22,Otros,Asiática,Grado universitario,5,2,Musulmán,1,Zurdo,Suburbano,4,2,4.0,5.0,2.5,1.5,4.0,MY
15,8,3,Mujer,18,Otros,Asiática,Grado universitario,0,2,Musulmán,1,Diestro,Suburbano,1,2,5.5,4.0,4.5,4.0,5.5,MY
31,29,27,Mujer,15,Asexual,Asiática,Hasta el instituto,0,2,Musulmán,1,Zurdo,Suburbano,3,2,4.0,2.5,3.5,1.5,4.5,MY
31,14,35,Mujer,22,Bisexual,Asiática,Grado universitario,6,2,Católico,1,Diestro,Rural,3,1,3.5,4.0,3.0,3.0,5.0,PH
15,15,7,Mujer,18,Otros,Asiática,Instituto,0,2,Otros (cristianismo),1,Diestro,Urbano,3,2,2.0,6.0,2.5,1.5,3.5,MY
35,28,36,Mujer,18,Otros,Asiática,Instituto,3,2,Musulmán,1,Diestro,Urbano,4,2,3.5,6.5,2.5,1.5,2.0,MY
15,15,5,Mujer,22,Heterosexual,Asiática,Grado universitario,0,0,Musulmán,1,Zurdo,Rural,4,2,6.5,2.5,2.0,4.0,4.5,MY
11,4,2,Mujer,17,Otros,Asiática,Instituto,0,2,Musulmán,1,Zurdo,Urbano,4,2,5.5,3.5,4.0,5.0,5.0,MY
15,19,10,Mujer,21,Asexual,Asiática,Grado universitario,0,2,Musulmán,1,Zurdo,Rural,8,2,5.5,4.0,6.0,3.0,5.5,MY
31,27,23,Mujer,14,Bisexual,Asiática,Instituto,7,2,Musulmán,1,Diestro,Urbano,5,1,3.0,3.5,3.0,3.0,4.5,MY
12,7,6,Mujer,23,Heterosexual,Asiática,Máster/Doctorado,0,2,Musulmán,1,Diestro,Rural,4,2,3.5,4.0,3.0,5.0,4.5,MY
17,7,17,Mujer,20,Asexual,Asiática,Instituto,7,2,Musulmán,1,Diestro,Suburbano,4,2,3.0,5.5,5.0,3.0,4.5,MY
25,15,20,Mujer,17,Otros,Asiática,Instituto,0,2,Musulmán,1,Diestro,Rural,4,2,2.5,5.0,4.5,4.0,4.0,MY
25,18,14,Mujer,17,Otros,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,3,2,4.0,6.0,4.0,4.0,3.5,MY
5,9,2,Mujer,21,Heterosexual,Asiática,Instituto,4,2,Musulmán,1,Diestro,Rural,5,2,5.5,5.0,5.0,5.5,5.0,MY
5,5,7,Mujer,17,Bisexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,4,2,3.0,6.5,4.5,6.0,5.0,MY
21,18,16,Mujer,19,Heterosexual,Asiática,Grado universitario,9,2,Musulmán,1,Diestro,Suburbano,5,2,5.0,5.0,3.5,3.0,4.0,MY
25,26,31,Mujer,20,Heterosexual,Árabe,Hasta el instituto,7,2,Musulmán,1,Diestro,Urbano,5,2,4.0,5.5,3.5,3.0,5.0,GB
15,18,12,Mujer,18,Bisexual,Asiática,Grado universitario,6,1,Musulmán,1,Diestro,Urbano,4,2,4.0,5.5,5.0,4.0,4.5,MY
13,5,7,Mujer,16,Heterosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,2,2,5.5,4.0,4.0,4.0,4.5,ID
31,29,27,Mujer,21,Otros,Asiática,Grado universitario,3,2,Musulmán,1,Diestro,Urbano,2,2,2.5,4.5,2.0,1.0,2.5,MY
12,9,42,Hombre,22,Heterosexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Urbano,3,2,1.0,1.0,4.5,4.0,4.0,MY
19,20,17,Mujer,24,Heterosexual,Asiática,Máster/Doctorado,3,2,Musulmán,1,Diestro,Urbano,2,2,3.5,3.5,4.5,5.0,5.0,MY
30,31,27,Mujer,19,Heterosexual,Asiática,Grado universitario,3,2,Católico,1,Diestro,Urbano,3,2,2.0,4.0,5.5,3.0,3.5,PH
38,32,34,Mujer,26,Heterosexual,Asiática,Grado universitario,0,2,Musulmán,1,Diestro,Urbano,5,2,2.5,6.5,2.5,2.5,1.5,MY
7,12,4,Mujer,19,Heterosexual,Asiática,Grado universitario,4,2,Musulmán,1,Diestro,Suburbano,4,2,4.5,6.0,4.0,4.5,3.0,MY
17,9,14,Mujer,19,Heterosexual,Asiática,Instituto,3,2,Musulmán,1,Diestro,Urbano,4,2,2.0,5.0,4.5,3.0,3.5,MY
13,8,2,Mujer,21,Heterosexual,Asiática,Grado universitario,6,2,Musulmán,1,Diestro,Suburbano,4,2,5.0,6.0,6.0,5.5,6.5,MY
41,38,41,Mujer,17,Bisexual,Asiática,Instituto,4,2,Musulmán,1,Diestro,Urbano,3,2,3.5,4.5,4.5,1.0,3.0,GB
