Suma Estrés,Suma Ansiedad,Suma Depresión,Genero,Edad,Orientacion,Raza,Educacion,Licenciatura,Ingles Nativo,Religion,Matrimonio,Zurdo,Zona vivienda,Familia,Voto,EXTRAVERSIÓN,AMABILIDAD,RESPONSABILIDAD,NEUROTICISMO,APERTURA EXP,country
15,1,12,Mujer,13,Heterosexual,Asiática,Hasta el instituto,0,1,Ateo,1,Diestro,Suburbano,1,2,1.5,2.5,4.5,6.0,6.0,US
26,7,29,Mujer,35,Heterosexual,Blanco,Máster/Doctorado,0,1,Agnostico,2,Diestro,Suburbano,2,1,1.0,5.0,7.0,4.0,6.0,US
9,10,5,Mujer,25,Heterosexual,Indígena Australiana,Máster/Doctorado,7,2,Otros,1,Diestro,Urbano,2,2,4.5,4.0,3.5,3.5,5.0,ID
17,3,10,Mujer,24,Heterosexual,Blanco,Grado universitario,1,2,Agnostico,1,Diestro,Rural,4,2,4.0,3.0,5.5,2.5,6.0,DO
21,14,37,Otros,16,Homosexual,Blanco,Instituto,0,2,Musulmán,1,Diestro,Urbano,1,2,1.5,4.5,2.0,7.0,7.0,TR
25,17,33,Mujer,18,Bisexual,Negra,Instituto,0,1,Ateo,1,Zurdo,Urbano,1,2,2.5,4.5,4.0,2.0,3.5,US
28,22,14,Mujer,18,Heterosexual,Blanco,Instituto,0,1,Otros,1,Diestro,Suburbano,1,2,4.0,3.5,2.0,1.5,5.5,US
2,2,2,Hombre,23,Bisexual,Blanco,Instituto,0,2,Agnostico,1,Diestro,Suburbano,4,2,1.5,2.5,6.0,6.0,3.0,NO
9,2,3,Mujer,61,Heterosexual,Blanco,Grado universitario,0,1,Católico,2,Zurdo,Urbano,2,1,3.5,4.5,5.0,3.5,4.5,US
8,8,6,Hombre,23,Heterosexual,Blanco,Grado universitario,0,1,Otros,1,Diestro,Rural,2,1,3.5,3.0,4.0,4.5,7.0,US
8,2,5,Mujer,17,Asexual,Blanco,Instituto,0,1,Otros (cristianismo),1,Diestro,Rural,6,2,1.5,3.5,6.0,7.0,5.5,US
27,17,33,Otros,16,Asexual,Blanco,Hasta el instituto,0,1,Agnostico,1,Diestro,Rural,3,2,2.0,3.5,4.5,4.5,3.5,US
6,1,9,Hombre,21,Heterosexual,Blanco,Instituto,0,1,Agnostico,1,Diestro,Suburbano,3,2,6.5,3.0,3.5,7.0,6.0,US
20,9,18,Mujer,26,Bisexual,Nativo Americano,Máster/Doctorado,3,2,Agnostico,1,Diestro,Urbano,2,1,3.5,1.5,1.5,1.5,6.0,US
18,9,26,Hombre,40,Heterosexual,Blanco,Instituto,3,1,Ateo,3,Diestro,Suburbano,2,1,2.0,4.5,2.0,3.0,4.0,US
0,1,0,Hombre,18,Heterosexual,Negra,Instituto,0,1,Otros (cristianismo),1,Diestro,Suburbano,2,2,6.0,4.0,6.0,6.5,6.5,US
14,17,26,Mujer,16,Heterosexual,Blanco,Hasta el instituto,0,1,Otros,1,Diestro,Suburbano,2,2,2.0,7.0,4.5,4.0,5.5,US
27,29,39,Mujer,20,Bisexual,Blanco,Grado universitario,7,1,Ateo,1,Diestro,Urbano,4,1,2.5,6.5,5.5,5.0,6.0,US
22,8,5,Mujer,27,Bisexual,Blanco,Grado universitario,7,2,Budista,1,Diestro,Urbano,2,2,3.5,3.5,5.5,3.5,6.5,DE
28,12,6,Mujer,22,Heterosexual,Blanco,Grado universitario,7,1,Otros,1,Diestro,Rural,3,1,2.0,6.0,7.0,3.0,4.5,US
6,7,31,Hombre,28,Heterosexual,Negra,Grado universitario,2,1,Ateo,1,Diestro,Urbano,3,2,1.5,4.5,3.0,5.5,2.5,US
38,35,42,Mujer,17,Bisexual,Asiática,Instituto,0,2,Musulmán,1,Diestro,Suburbano,2,2,4.0,5.0,2.0,1.5,7.0,CA
25,25,14,Mujer,15,Heterosexual,Asiática,Instituto,0,2,Católico,1,Diestro,Suburbano,2,2,2.0,6.0,4.5,4.0,5.5,US
27,37,30,Mujer,15,Heterosexual,Blanco,Instituto,0,1,Otros (cristianismo),1,Diestro,Suburbano,3,2,2.0,5.0,3.0,1.5,2.0,US
2,1,0,Hombre,18,Heterosexual,Árabe,Instituto,0,2,Otros (cristianismo),1,Diestro,Urbano,2,2,5.0,2.5,7.0,6.5,6.0,US
38,17,40,Mujer,18,Bisexual,Otros,Instituto,5,2,Otros,1,Diestro,Urbano,2,2,4.0,1.5,4.5,2.0,3.5,LK
19,27,17,Mujer,20,Heterosexual,Blanco,Grado universitario,0,1,Agnostico,1,Diestro,Urbano,3,2,2.0,3.5,4.0,2.0,2.5,GB
5,3,4,Hombre,20,Homosexual,Blanco,Instituto,4,1,Ateo,1,Zurdo,Urbano,2,1,4.0,4.0,2.0,7.0,4.0,BR
31,10,20,Mujer,14,Heterosexual,Otros,Hasta el instituto,0,1,Católico,1,Diestro,Suburbano,6,2,7.0,4.5,3.0,2.5,5.0,US
23,19,12,Mujer,16,Bisexual,Asiática,Hasta el instituto,0,1,Otros (cristianismo),1,Diestro,Suburbano,3,2,6.0,3.5,5.0,4.5,5.5,US
28,10,8,Mujer,14,Asexual,Asiática,Hasta el instituto,0,2,Agnostico,1,Diestro,Suburbano,2,2,2.0,1.5,5.0,5.5,5.5,US
39,32,26,Mujer,15,Bisexual,Indígena Australiana,Instituto,0,2,Católico,1,Diestro,Urbano,3,2,2.5,4.5,5.0,2.5,6.5,US
22,10,33,Mujer,14,Asexual,Blanco,Hasta el instituto,0,1,Ateo,1,Diestro,Suburbano,4,2,2.0,4.0,4.0,4.0,6.0,US
39,36,42,Hombre,17,Heterosexual,Negra,Instituto,0,1,Agnostico,1,Diestro,Urbano,3,2,1.0,3.5,3.0,1.5,6.0,US
36,39,41,Mujer,15,Otros,Blanco,Instituto,0,1,Ateo,1,Diestro,Suburbano,2,2,1.5,5.5,3.5,1.0,2.5,US
5,0,3,Hombre,18,Heterosexual,Negra,Instituto,0,1,Agnostico,1,Diestro,Suburbano,2,2,5.0,4.5,4.5,6.0,5.5,US
20,24,18,Mujer,20,Heterosexual,Blanco,Instituto,4,1,Otros (cristianismo),1,Zurdo,Rural,2,2,1.0,3.0,2.5,1.0,4.0,US
12,6,17,Mujer,24,Bisexual,Blanco,Grado universitario,1,1,Ateo,1,Diestro,Urbano,1,1,6.5,3.0,6.5,7.0,6.0,US
21,7,8,Hombre,40,Heterosexual,Blanco,Máster/Doctorado,0,1,Católico,2,Diestro,Rural,4,1,6.5,7.0,5.0,4.0,7.0,US
35,41,39,Mujer,37,Heterosexual,Asiática,Máster/Doctorado,0,2,Hinduista,3,Diestro,Suburbano,2,2,1.0,7.0,4.0,1.0,4.0,IN
5,13,32,Hombre,22,Heterosexual,Blanco,Instituto,0,2,Agnostico,1,Diestro,Suburbano,3,2,2.5,2.0,1.5,4.0,1.5,AR
27,19,27,Hombre,18,Heterosexual,Nativo Americano,Instituto,0,1,Ateo,1,Diestro,Suburbano,2,2,3.5,5.5,6.0,4.0,6.0,US
19,18,23,Mujer,23,Homosexual,Blanco,Grado universitario,4,1,Protestante,1,Diestro,Suburbano,3,1,1.0,4.0,6.5,2.5,5.0,KH
